round,idno,country,party_de,party_fr,party_hu,party_it,party_pl,age,urban,education(yy),activity,source_inc_h,income,satisfaction_inc,source_inc_p,age_group
9,110,IT,0,0,0,1,0,66,3,16,66,4,3,2,66,66+
9,149,IT,0,0,0,9,0,52,4,10,66,1,4,3,1,25-65
9,150,IT,0,0,0,77,0,83,3,5,66,4,4,1,4,66+
9,155,IT,0,0,0,6,0,86,3,3,66,4,77,2,4,66+
9,201,IT,0,0,0,7,0,62,4,5,66,4,2,3,4,25-65
9,224,IT,0,0,0,1,0,40,4,20,66,1,9,1,1,25-65
9,229,IT,0,0,0,7,0,52,2,11,66,88,3,3,4,25-65
9,244,IT,0,0,0,7,0,20,4,13,66,1,88,1,9,18-24
9,284,IT,0,0,0,7,0,57,4,13,66,1,77,1,1,25-65
9,290,IT,0,0,0,77,0,51,4,16,66,1,8,2,1,25-65
9,297,IT,0,0,0,66,0,46,3,13,66,2,10,1,2,25-65
9,300,IT,0,0,0,66,0,38,4,88,66,1,88,2,1,25-65
9,303,IT,0,0,0,9,0,74,3,11,66,4,2,1,66,66+
9,307,IT,0,0,0,66,0,24,4,16,66,1,88,1,9,18-24
9,327,IT,0,0,0,77,0,48,4,12,66,8,77,3,8,25-65
9,360,IT,0,0,0,66,0,27,1,77,66,77,77,3,77,25-65
9,362,IT,0,0,0,14,0,32,4,18,66,1,8,1,1,25-65
9,381,IT,0,0,0,77,0,38,4,9,66,2,2,1,66,25-65
9,450,IT,0,0,0,66,0,29,3,19,66,1,4,2,66,25-65
9,459,IT,0,0,0,66,0,16,1,8,66,8,88,2,9,18-24
9,550,IT,0,0,0,77,0,65,4,8,66,4,1,2,9,25-65
9,551,IT,0,0,0,7,0,45,3,8,66,1,77,3,9,25-65
9,552,IT,0,0,0,8,0,27,4,13,66,1,4,2,1,25-65
9,555,IT,0,0,0,77,0,22,1,13,66,1,4,2,1,18-24
9,561,IT,0,0,0,7,0,42,3,11,66,1,6,4,9,25-65
9,576,IT,0,0,0,1,0,51,3,13,66,1,7,1,1,25-65
9,588,IT,0,0,0,7,0,53,3,14,66,1,10,1,66,25-65
9,590,IT,0,0,0,1,0,49,3,14,66,1,7,1,1,25-65
9,596,IT,0,0,0,66,0,80,4,77,66,77,77,7,77,66+
9,604,IT,0,0,0,66,0,81,3,2,66,1,8,1,4,66+
9,608,IT,0,0,0,9,0,74,3,21,66,4,8,1,4,66+
9,623,IT,0,0,0,66,0,90,2,6,66,4,1,2,66,66+
9,640,IT,0,0,0,1,0,55,4,11,66,1,3,1,9,25-65
9,651,IT,0,0,0,66,0,51,4,8,66,1,5,3,9,25-65
9,654,IT,0,0,0,66,0,49,1,15,66,8,77,3,77,25-65
9,678,IT,0,0,0,77,0,50,4,10,66,1,8,2,1,25-65
9,681,IT,0,0,0,77,0,71,4,5,66,4,77,2,4,66+
9,682,IT,0,0,0,12,0,62,1,16,2,2,8,1,9,25-65
9,690,IT,0,0,0,66,0,45,4,13,66,1,88,3,1,25-65
9,695,IT,0,0,0,7,0,42,5,21,66,1,9,1,1,25-65
9,703,IT,0,0,0,66,0,34,4,14,66,1,77,1,1,25-65
9,747,IT,0,0,0,77,0,23,4,16,66,1,77,2,9,18-24
9,749,IT,0,0,0,14,0,48,4,13,66,1,5,2,1,25-65
9,753,IT,0,0,0,8,0,51,3,10,66,1,4,3,1,25-65
9,772,IT,0,0,0,8,0,62,2,8,66,4,2,3,4,25-65
9,791,IT,0,0,0,6,0,61,1,13,66,1,10,1,1,25-65
9,815,IT,0,0,0,1,0,79,3,10,66,4,7,2,66,66+
9,817,IT,0,0,0,7,0,46,3,13,66,1,77,2,1,25-65
9,818,IT,0,0,0,9,0,26,3,16,66,1,8,2,1,25-65
9,844,IT,0,0,0,66,0,32,3,13,66,1,77,3,9,25-65
9,876,IT,0,0,0,77,0,48,3,13,66,1,7,2,1,25-65
9,888,IT,0,0,0,9,0,64,2,7,66,1,5,2,1,25-65
9,901,IT,0,0,0,1,0,26,3,19,66,2,10,1,1,25-65
9,984,IT,0,0,0,6,0,51,2,18,66,1,9,1,1,25-65
9,999,IT,0,0,0,66,0,32,4,13,66,2,77,7,2,25-65
9,1023,IT,0,0,0,66,0,21,3,13,66,1,5,2,9,18-24
9,1028,IT,0,0,0,7,0,56,4,13,66,1,4,2,1,25-65
