idno,cntry,prtvede1,prtvede2,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,lrscale,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
38821,AT,,,,,,,6,4,3,2,4,2,6,4,1,8,5,4,7,4,2,7,3,2,3,3,3,7,
38827,AT,,,,,,,8,4,6,5,3,3,3,4,4,3,3,2,5,3,1,3,5,6,1,1,2,1,
38852,AT,,,,,,,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
38930,AT,,,,,,,5,4,4,2,3,2,3,3,3,2,2,3,2,3,3,3,2,3,2,2,2,3,
38961,AT,,,,,,,5,1,4,2,1,6,1,6,2,6,3,2,1,1,6,1,2,1,1,3,3,2,
39018,AT,,,,,,,7,3,5,1,4,2,3,1,1,1,4,2,2,4,2,6,2,5,1,1,2,6,
39021,AT,,,,,,,6,2,5,1,3,2,3,3,2,2,3,2,1,3,2,5,2,2,1,2,1,3,
39028,AT,,,,,,,88,6,6,6,6,2,1,6,6,3,2,6,3,2,2,6,2,6,3,6,2,2,
39082,AT,,,,,,,6,3,4,2,2,2,5,3,2,3,3,3,4,4,3,5,2,2,2,2,3,4,
39129,AT,,,,,,,10,4,4,3,4,3,5,4,5,5,4,4,4,5,4,4,4,3,3,4,5,5,
39171,AT,,,,,,,6,4,4,2,2,3,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,
39212,AT,,,,,,,5,3,6,2,6,2,6,6,6,4,1,1,3,6,1,6,2,3,1,1,2,3,
39227,AT,,,,,,,77,2,4,2,1,1,3,3,2,8,2,2,2,3,1,4,1,1,2,2,1,3,
39229,AT,,,,,,,77,3,5,3,3,3,2,4,4,4,1,3,4,3,2,3,4,5,1,1,3,3,
39243,AT,,,,,,,10,6,6,2,6,3,6,3,3,6,5,2,3,6,1,6,6,6,1,2,2,3,
39251,AT,,,,,,,6,3,3,1,2,1,3,3,2,2,2,2,1,2,1,3,2,1,1,1,1,2,
39257,AT,,,,,,,6,3,4,2,5,1,3,3,3,3,3,2,2,2,1,5,2,3,2,1,1,3,
39271,AT,,,,,,,9,1,4,1,2,1,1,6,1,3,1,1,1,2,1,1,3,5,1,2,3,1,
39275,AT,,,,,,,88,5,6,3,3,1,4,3,1,1,5,2,3,6,1,6,1,2,2,1,5,5,
39282,AT,,,,,,,7,2,6,1,4,2,2,4,2,3,3,1,2,2,2,4,3,3,2,2,2,2,
39291,AT,,,,,,,7,2,3,2,2,2,1,4,2,2,2,1,3,2,2,3,2,2,2,2,2,2,
39294,AT,,,,,,,6,4,5,2,2,2,5,2,2,3,4,2,2,4,2,5,2,2,2,2,2,4,
39351,AT,,,,,,,3,3,3,1,2,2,3,3,1,1,1,1,2,1,2,2,1,3,1,1,2,1,
39413,AT,,,,,,,10,2,3,5,3,4,2,6,3,6,2,2,2,2,1,2,5,6,1,2,4,2,
39498,AT,,,,,,,1,3,6,2,2,2,2,6,2,3,2,1,1,1,2,3,2,1,2,2,5,3,
39629,AT,,,,,,,4,3,4,2,3,2,2,2,2,3,1,3,2,2,1,3,3,4,1,1,2,2,
39647,AT,,,,,,,5,3,4,2,3,2,3,4,3,4,3,3,2,3,3,4,3,3,2,3,4,3,
39658,AT,,,,,,,6,8,4,1,2,3,5,3,3,4,3,3,2,4,3,6,2,2,2,2,2,3,
39687,AT,,,,,,,5,3,5,2,2,2,4,3,2,4,2,2,2,4,2,4,2,2,1,1,1,2,
39694,AT,,,,,,,0,2,3,3,3,3,2,3,3,3,2,3,2,3,3,3,2,3,3,3,3,2,
39716,AT,,,,,,,3,2,4,1,1,2,4,2,2,3,4,2,2,3,2,5,1,3,2,1,4,3,
39726,AT,,,,,,,4,3,4,1,3,1,5,4,1,2,3,2,1,3,2,6,3,3,1,1,3,5,
39727,AT,,,,,,,4,3,5,2,5,2,5,3,2,2,3,4,2,5,2,5,2,2,2,5,5,4,
39736,AT,,,,,,,2,3,4,2,3,2,2,3,4,4,2,1,2,3,4,2,4,3,1,1,3,3,
39739,AT,,,,,,,8,3,4,7,3,3,3,3,5,3,2,3,3,4,1,3,3,5,1,1,1,3,
39750,AT,,,,,,,5,2,5,3,2,2,2,3,2,5,4,1,2,3,2,2,3,2,1,2,5,2,
39751,AT,,,,,,,5,2,4,1,3,1,3,5,2,2,1,5,1,3,2,6,2,4,1,1,1,5,
39761,AT,,,,,,,5,2,4,2,3,3,2,6,2,4,4,2,2,3,2,2,3,3,2,2,2,2,
39770,AT,,,,,,,5,4,6,2,3,1,4,3,2,2,4,1,1,4,1,5,1,3,1,2,1,5,
39794,AT,,,,,,,5,2,4,2,4,3,3,4,3,3,3,3,3,4,3,4,2,3,2,2,4,4,
39811,AT,,,,,,,2,5,4,2,4,4,2,2,1,3,1,3,3,4,2,3,5,4,3,3,5,1,
39816,AT,,,,,,,5,2,5,2,6,2,4,3,2,3,4,1,4,4,2,5,3,5,3,3,3,5,
39830,AT,,,,,,,5,3,5,2,2,2,3,3,2,3,3,2,1,3,2,4,2,1,1,1,1,3,
