essround,idno,cntry,nwspol,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,stfeco,stfedu,stfhlth,
9,8321,AT,20,,,,,,9,6,4,
9,8345,AT,120,,,,,,7,6,7,
9,8350,AT,30,,,,,,10,5,9,
9,8396,AT,15,,,,,,5,10,9,
9,8414,AT,15,,,,,,6,7,7,
9,8416,AT,10,,,,,,8,8,8,
9,8422,AT,0,,,,,,5,8,10,
9,8432,AT,5,,,,,,10,8,10,
9,8493,AT,10,,,,,,7,8,6,
9,8496,AT,15,,,,,,5,7,7,
9,8497,AT,90,,,,,,6,5,7,
9,8513,AT,120,,,,,,6,8,10,
9,8572,AT,60,,,,,,9,8,9,
9,8597,AT,20,,,,,,7,5,8,
9,8599,AT,20,,,,,,7,3,8,
9,8627,AT,30,,,,,,6,8,8,
9,8641,AT,60,,,,,,8,10,9,
9,8643,AT,20,,,,,,7,9,9,
9,8690,AT,90,,,,,,7,7,9,
9,8697,AT,5,,,,,,8,5,10,
9,8717,AT,40,,,,,,7,8,8,
9,8745,AT,120,,,,,,8,3,8,
9,8791,AT,20,,,,,,3,4,4,
9,8792,AT,30,,,,,,8,8,8,
9,8816,AT,20,,,,,,7,9,7,
9,8828,AT,60,,,,,,9,8,9,
9,8846,AT,30,,,,,,4,7,4,
9,8881,AT,30,,,,,,9,9,9,
9,8933,AT,75,,,,,,7,4,5,
9,8937,AT,15,,,,,,7,9,8,
9,8951,AT,45,,,,,,8,5,7,
9,8965,AT,75,,,,,,4,5,4,
9,8975,AT,60,,,,,,7,7,8,
9,8993,AT,45,,,,,,4,88,7,
9,9031,AT,15,,,,,,10,10,6,
9,9035,AT,60,,,,,,7,3,8,
9,9037,AT,30,,,,,,9,10,7,
9,9040,AT,30,,,,,,5,2,3,
9,9075,AT,120,,,,,,10,7,8,
9,9088,AT,30,,,,,,7,7,9,
9,9092,AT,90,,,,,,7,4,7,
9,9140,AT,120,,,,,,7,7,8,
9,9145,AT,60,,,,,,8,4,6,
9,9153,AT,15,,,,,,5,9,10,
9,9165,AT,15,,,,,,10,10,10,
9,9175,AT,120,,,,,,8,10,8,
9,9176,AT,30,,,,,,6,2,10,
9,9201,AT,5,,,,,,4,5,6,
9,9206,AT,5,,,,,,6,7,9,
9,9213,AT,60,,,,,,7,8,10,
9,9288,AT,30,,,,,,5,4,6,
9,9360,AT,10,,,,,,3,2,2,
9,9381,AT,10,,,,,,8,8,7,
9,9386,AT,60,,,,,,8,5,9,
9,9389,AT,60,,,,,,8,9,10,
9,9397,AT,60,,,,,,8,8,8,
9,9407,AT,15,,,,,,7,7,8,
9,9441,AT,20,,,,,,4,4,5,
9,9450,AT,20,,,,,,8,9,9,
9,9471,AT,60,,,,,,8,6,7,
9,9478,AT,45,,,,,,7,5,7,
9,9498,AT,45,,,,,,9,9,8,
9,9512,AT,60,,,,,,6,6,3,
9,9523,AT,90,,,,,,9,4,9,
9,9534,AT,15,,,,,,8,3,5,
9,9582,AT,20,,,,,,8,7,6,
9,9587,AT,15,,,,,,7,4,6,
9,9598,AT,30,,,,,,6,88,6,
9,9607,AT,30,,,,,,3,7,10,
9,9632,AT,10,,,,,,3,5,7,
9,9638,AT,0,,,,,,4,1,6,
9,9647,AT,60,,,,,,7,7,8,
9,9654,AT,60,,,,,,8,88,8,
9,9728,AT,10,,,,,,88,6,7,
9,9747,AT,15,,,,,,7,8,9,
9,9786,AT,30,,,,,,7,7,6,
9,9794,AT,120,,,,,,9,8,9,
9,9804,AT,30,,,,,,7,9,9,
9,9810,AT,20,,,,,,5,7,7,
9,9841,AT,30,,,,,,3,8,0,
9,9878,AT,0,,,,,,2,8,5,
9,9894,AT,30,,,,,,88,88,10,
9,9928,AT,18,,,,,,9,8,8,
9,9935,AT,30,,,,,,7,7,7,
9,9939,AT,15,,,,,,5,5,8,
9,10045,AT,20,,,,,,3,0,8,
9,10078,AT,15,,,,,,6,8,7,
9,10094,AT,90,,,,,,2,2,6,
9,10121,AT,10,,,,,,8,8,2,
9,10140,AT,120,,,,,,8,5,7,
9,10181,AT,30,,,,,,7,6,8,
9,10185,AT,30,,,,,,7,10,8,
9,10194,AT,60,,,,,,8,7,8,
9,10209,AT,15,,,,,,6,5,3,
9,10210,AT,60,,,,,,2,5,8,
9,10215,AT,15,,,,,,4,4,5,
9,10231,AT,30,,,,,,8,10,10,
9,10232,AT,10,,,,,,5,6,6,
9,10244,AT,0,,,,,,10,10,10,
9,10252,AT,15,,,,,,10,10,10,
9,10253,AT,60,,,,,,5,88,8,
9,10263,AT,0,,,,,,10,8,8,
9,10277,AT,30,,,,,,8,3,6,
9,10283,AT,150,,,,,,8,4,6,
9,10288,AT,5,,,,,,6,7,7,
9,10293,AT,20,,,,,,6,7,7,
9,10308,AT,120,,,,,,5,3,4,
9,10319,AT,10,,,,,,7,2,9,
9,10344,AT,10,,,,,,7,8,8,
9,10357,AT,60,,,,,,8,6,4,
9,10377,AT,20,,,,,,10,10,9,
9,10382,AT,90,,,,,,9,5,7,
9,10396,AT,30,,,,,,7,10,7,
9,10441,AT,30,,,,,,6,3,6,
9,10469,AT,60,,,,,,6,7,8,
