cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtcfr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
FR,ESS1-8e01,1.0,12.12.2018,155363,ESS6e02_4,6,2.4,257,0.464879036219919,0.249619675535674,2.702677846,6,4,4,6,1,5,1,6,4,1,1,5,2,1,6,2,6,1,4,1,2,2,6
FR,ESS1-8e01,1.0,12.12.2018,155364,ESS6e02_4,6,2.4,258,0.929758072439839,0.564573809658683,2.702677846,5,10,4,5,1,4,1,3,3,3,2,3,4,3,4,2,5,3,5,2,2,3,5
FR,ESS1-8e01,1.0,12.12.2018,155365,ESS6e02_4,6,2.4,259,0.464879036219919,0.249619675535674,2.702677846,4,12,2,5,1,4,2,3,2,1,1,3,1,1,4,3,4,2,3,1,1,3,3
FR,ESS1-8e01,1.0,12.12.2018,155366,ESS6e02_4,6,2.4,261,0.464879036219919,0.282286904829341,2.702677846,6,10,2,5,1,4,1,1,2,1,2,2,2,1,4,2,5,1,4,1,1,1,4
FR,ESS1-8e01,1.0,12.12.2018,155367,ESS6e02_4,6,2.4,264,0.929758072439839,0.574856046623701,2.702677846,77,77,3,5,1,5,1,3,3,2,3,1,1,1,3,1,3,1,5,1,1,2,1
FR,ESS1-8e01,1.0,12.12.2018,155368,ESS6e02_4,6,2.4,265,0.929758072439839,0.994162427625728,2.702677846,2,66,2,5,1,3,1,4,2,2,2,4,3,1,4,1,5,1,2,1,1,1,5
FR,ESS1-8e01,1.0,12.12.2018,155369,ESS6e02_4,6,2.4,267,0.497799979333001,0.51753096875717,2.702677846,5,77,2,6,8,4,2,2,2,1,2,4,4,4,4,2,6,1,4,3,1,4,4
FR,ESS1-8e01,1.0,12.12.2018,155370,ESS6e02_4,6,2.4,268,0.995599958666001,2.99925718420434,2.702677846,10,88,2,6,4,3,2,3,4,2,3,5,4,1,3,1,5,1,4,1,4,6,4
FR,ESS1-8e01,1.0,12.12.2018,155371,ESS6e02_4,6,2.4,271,0.497799979333001,0.888278241647989,2.702677846,8,66,2,6,3,3,3,5,5,5,3,2,2,4,5,1,5,5,5,2,3,5,5
FR,ESS1-8e01,1.0,12.12.2018,155372,ESS6e02_4,6,2.4,272,0.995599958666001,1.05391288655398,2.702677846,5,9,1,6,1,6,1,1,1,1,4,1,1,4,4,1,6,1,6,1,1,5,1
FR,ESS1-8e01,1.0,12.12.2018,155373,ESS6e02_4,6,2.4,274,0.497799979333001,0.591432729335133,2.702677846,0,2,1,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,4,6,2
FR,ESS1-8e01,1.0,12.12.2018,155374,ESS6e02_4,6,2.4,277,1.38785464169033,1.6313623018845,2.702677846,5,9,2,5,1,4,2,6,6,4,2,2,1,2,2,1,6,2,5,3,1,1,5
FR,ESS1-8e01,1.0,12.12.2018,155375,ESS6e02_4,6,2.4,278,1.38785464169033,0.943305095236727,2.702677846,5,77,1,6,1,6,1,2,6,1,1,1,1,1,6,1,4,1,5,1,1,1,1
FR,ESS1-8e01,1.0,12.12.2018,155376,ESS6e02_4,6,2.4,280,0.693927320845163,0.815681150942247,2.702677846,5,77,4,6,1,3,1,2,5,3,1,1,1,1,4,1,6,1,4,1,5,4,6
FR,ESS1-8e01,1.0,12.12.2018,155377,ESS6e02_4,6,2.4,285,1.38785464169033,1.07451605591516,2.702677846,3,9,3,6,1,5,1,4,6,1,1,1,1,1,5,1,6,1,6,1,1,1,5
FR,ESS1-8e01,1.0,12.12.2018,155378,ESS6e02_4,6,2.4,286,1.38785464169033,1.07451605591516,2.702677846,3,9,2,5,1,3,1,3,4,3,1,2,3,1,4,1,5,3,5,1,2,2,1
