cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtehu,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
HU,ESS1-8e01,1.0,12.12.2018,201654,ESS7e02_2,7,2.2,1195,1,0.694144286837428,0.497735512,8,1,2,1,1,1,1,1,3,2,3,2,2,2,2,1,4,3,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201655,ESS7e02_2,7,2.2,1197,1,1.79095582787984,0.497735512,77,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201656,ESS7e02_2,7,2.2,1198,1,1.96509877004511,0.497735512,77,77,2,4,5,4,1,2,3,3,2,3,3,2,3,5,5,2,3,1,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201657,ESS7e02_2,7,2.2,1199,1,0.951177405981889,0.497735512,2,1,2,2,2,2,1,3,5,3,3,2,1,3,2,1,3,2,3,2,2,4,1
HU,ESS1-8e01,1.0,12.12.2018,201658,ESS7e02_2,7,2.2,1201,1,0.694144286837428,0.497735512,1,1,2,3,2,2,2,3,4,2,2,1,1,2,3,2,4,2,2,1,2,2,1
HU,ESS1-8e01,1.0,12.12.2018,201659,ESS7e02_2,7,2.2,1202,1,1.09051826599467,0.497735512,0,66,4,3,1,4,1,4,4,2,3,2,1,3,3,1,5,2,1,1,1,2,2
HU,ESS1-8e01,1.0,12.12.2018,201660,ESS7e02_2,7,2.2,1203,1,1.09280320558469,0.497735512,1,66,1,1,1,1,1,2,5,1,2,1,1,2,2,2,4,2,2,1,2,3,1
HU,ESS1-8e01,1.0,12.12.2018,201661,ESS7e02_2,7,2.2,1208,1,0.703339392286413,0.497735512,77,77,2,5,1,3,1,1,6,2,5,2,2,2,3,2,5,5,3,2,2,3,2
HU,ESS1-8e01,1.0,12.12.2018,201662,ESS7e02_2,7,2.2,1209,1,1.82118995713585,0.497735512,77,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201663,ESS7e02_2,7,2.2,1210,1,1.09280320558469,0.497735512,77,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201664,ESS7e02_2,7,2.2,1212,1,1.09051826599467,0.497735512,77,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201665,ESS7e02_2,7,2.2,1213,1,1.09280320558469,0.497735512,10,77,2,6,2,4,2,1,5,4,3,2,2,2,8,2,3,2,4,3,2,4,5
HU,ESS1-8e01,1.0,12.12.2018,201666,ESS7e02_2,7,2.2,1214,1,1.09280320558469,0.497735512,77,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201667,ESS7e02_2,7,2.2,1225,1,1.09280320558469,0.497735512,77,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201668,ESS7e02_2,7,2.2,1229,1,0.694144286837428,0.497735512,5,77,3,2,1,2,1,4,4,2,3,1,1,2,2,2,6,2,2,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201669,ESS7e02_2,7,2.2,1231,1,0.703339392286413,0.497735512,5,77,2,2,1,2,1,3,3,2,3,1,1,2,1,1,4,2,1,1,1,2,1
HU,ESS1-8e01,1.0,12.12.2018,201670,ESS7e02_2,7,2.2,1234,1,1.45355626382575,0.497735512,5,66,2,1,1,3,1,4,2,2,3,3,2,4,2,2,6,3,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201671,ESS7e02_2,7,2.2,1235,1,0.704413480896534,0.497735512,2,77,3,6,1,3,1,6,6,1,1,1,1,1,2,3,6,3,4,1,1,6,3
HU,ESS1-8e01,1.0,12.12.2018,201672,ESS7e02_2,7,2.2,1237,1,1.79095582787984,0.497735512,10,1,8,8,8,8,8,8,1,8,1,8,8,8,8,8,8,8,8,8,8,8,8
HU,ESS1-8e01,1.0,12.12.2018,201673,ESS7e02_2,7,2.2,1239,1,0.694144286837428,0.497735512,5,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201674,ESS7e02_2,7,2.2,1240,1,1.1803732034197,0.497735512,5,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201675,ESS7e02_2,7,2.2,1242,1,0.951177405981889,0.497735512,5,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201676,ESS7e02_2,7,2.2,1243,1,1.07647347345738,0.497735512,5,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
